reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
49,60,89,0,0,0,4,12.13057850000041,13.07914570000139,13.07914570000139,13.145842900001298,l,45.76619479999863,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
25,46,66,0,1,1,16,58.876879700001155,59.87495220000346,59.87495220000346,59.89163130000088,l,4.6623579999977665,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
30,37,90,0,2,2,19,64.56060880000223,65.55998640000325,65.55998640000325,65.55998640000325,t,9.450491600000532,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
27,50,21,0,3,3,2,75.0288892000026,76.02936200000113,76.02936200000113,76.02936200000113,l,24.688621900000726,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
26,86,57,0,4,4,18,100.73589510000238,101.73603470000307,101.73603470000307,101.73603470000307,l,4.399024999998801,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
36,43,50,0,5,5,9,106.15400840000075,107.15424710000298,107.15424710000298,107.15424710000298,t,17.153718599998683,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
1,11,8,0,6,6,12,124.32526190000135,125.32583680000243,125.32583680000243,125.32583680000243,l,6.460750399997778,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
5,34,20,0,7,7,23,131.81077220000225,132.8110959000005,132.8110959000005,132.8110959000005,l,6.043802699998196,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
59,65,70,0,8,8,21,138.87929350000195,139.8796379000014,139.8796379000014,139.8796379000014,t,7.952701300000626,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
94,98,123,0,9,9,17,147.84814560000086,148.8487742000034,148.8487742000034,148.8487742000034,t,11.99116910000157,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
73,79,33,0,10,10,24,160.86846340000193,161.8689133000007,161.8689133000007,161.8689133000007,t,5.454556199998478,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
8,40,10,0,11,11,8,167.3536492000021,168.35389940000096,168.35389940000096,168.35389940000096,l,4.252296599999681,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
40,55,62,0,12,12,3,172.63835310000286,173.63871310000104,173.63871310000104,173.63871310000104,l,14.334770400000707,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
11,30,7,0,13,13,0,187.99233970000205,188.9927819000004,188.9927819000004,188.9927819000004,l,8.038987700001599,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
77,93,42,0,14,14,13,197.06138250000004,198.06201180000062,198.06201180000062,198.06201180000062,t,8.833128599999327,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
67,75,119,0,15,15,5,206.9139716000027,207.91441900000063,207.91441900000063,207.91441900000063,t,7.68185319999975,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
19,69,25,0,16,16,10,215.61625240000285,216.61684250000326,216.61684250000326,216.61684250000326,l,5.418015900002501,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
24,80,48,0,17,17,22,222.0515566000031,223.05196320000323,223.05196320000323,223.05196320000323,l,4.915109199999279,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
12,78,36,0,18,18,20,227.98638130000109,228.98687650000284,228.98687650000284,228.98687650000284,l,5.5391003000004275,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
9,78,23,0,19,19,15,234.55481920000238,235.55529100000058,235.55529100000058,235.55529100000058,l,3.8974835999979405,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
54,59,121,0,20,20,7,239.47268990000157,240.47314710000137,240.47314710000137,240.47314710000137,t,8.726030599998921,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
17,56,87,0,21,21,11,249.2252425000006,250.2256991000031,250.2256991000031,250.2256991000031,t,7.996385099999316,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
37,23,64,0,22,22,14,258.2444244000035,259.2449269000026,259.2449269000026,259.2449269000026,t,11.036374199997226,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
78,80,162,0,23,23,6,270.2978663000031,271.29809450000175,271.29809450000175,271.29809450000175,t,5.125777299999754,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
15,35,13,0,24,24,1,276.44943120000244,277.44982900000105,277.44982900000105,277.44982900000105,l,3.2011664000019664,None,5,001,2023-11-22_23h01.06.683,DelayDiscounting,2023.1.3,59.93813186063091,
