reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
17,56,87,0,0,0,11,12.737212200001522,13.699268600001233,13.699268600001233,13.749265500002366,t,2.6167185999984213,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
9,78,23,0,1,1,15,16.333308600002056,17.333937999999762,17.333937999999762,17.333937999999762,l,2.370420399998693,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
1,11,8,0,2,2,12,19.734183900000062,20.717836399999214,20.717836399999214,20.73448940000162,l,1.2587975999995251,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
59,65,70,0,3,3,21,22.001439499999833,22.984875199999806,22.984875199999806,23.00197610000032,t,1.3295880000005127,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
5,34,20,0,4,4,23,24.335398999999597,25.31900350000069,25.31900350000069,25.336040900001535,l,1.0906482999998843,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
36,43,50,0,5,5,9,26.436020900000585,27.436530999999377,27.436530999999377,27.436530999999377,t,1.9487139000011666,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
8,40,10,0,6,6,8,29.403721000002406,30.403779200001736,30.403779200001736,30.403779200001736,l,1.2184309999975085,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
73,79,33,0,7,7,24,31.65402510000058,32.637996000001294,32.637996000001294,32.65435660000003,t,1.5420339000011154,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
67,75,119,0,8,8,5,34.20448419999957,35.188410400001885,35.188410400001885,35.20496130000174,t,1.1081964000004518,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
25,46,66,0,9,9,16,36.321882899999764,37.30555979999917,37.30555979999917,37.322286700000404,t,1.9323221999984526,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
78,80,162,0,10,10,6,39.25601710000046,40.256500600000436,40.256500600000436,40.256500600000436,t,1.9706899000011617,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
26,86,57,0,11,11,18,42.2571334000022,43.2404174000003,43.2404174000003,43.25731040000028,l,5.973954099998082,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
12,78,36,0,12,12,20,49.24189910000132,50.225688000002265,50.225688000002265,50.24238460000197,l,3.1049996000001556,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
37,23,64,0,13,13,14,53.3596443000024,54.36013300000195,54.36013300000195,54.36013300000195,t,1.3895913000014843,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
49,60,89,0,14,14,4,55.77708859999984,56.77733690000241,56.77733690000241,56.77733690000241,t,2.339683599999262,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
77,93,42,0,15,15,13,59.144651599999634,60.12837750000108,60.12837750000108,60.145242900001904,t,0.8433264000013878,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
11,30,7,0,16,16,0,60.9956411000021,61.97883880000154,61.97883880000154,61.99555390000023,l,1.113897300001554,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
15,35,13,0,17,17,1,63.11251679999987,64.11288280000008,64.11288280000008,64.11288280000008,l,1.441431700000976,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
54,59,121,0,18,18,7,65.57967769999959,66.58025300000008,66.58025300000008,66.58025300000008,t,1.0851182000005792,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
24,80,48,0,19,19,22,67.69692090000171,68.68078719999903,68.68078719999903,68.6975108000006,l,2.0864885999981198,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
30,37,90,0,20,20,19,70.79782740000155,71.79820990000007,71.79820990000007,71.79820990000007,t,1.406793899997865,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
19,69,25,0,21,21,10,73.23167290000129,74.21565919999921,74.21565919999921,74.232058900001,l,2.386404400000174,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
94,98,123,0,22,22,17,76.6325233000025,77.61686290000216,77.61686290000216,77.63339379999888,t,1.42826320000313,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
27,50,21,0,23,23,2,79.06721590000234,80.05030750000151,80.05030750000151,80.06695250000121,t,2.6390391000022646,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
40,55,62,0,24,24,3,82.71739040000102,83.71807540000009,83.71807540000009,83.71807540000009,t,1.5805318999991869,None,4,001,2023-11-22_22h31.39.137,DelayDiscounting,2023.1.3,60.143032159016194,
